Time (ns),RMSD (Å)
134,3.1773249
135,3.2733282
136,3.3099355
137,3.2861953
138,3.1904333
139,3.2035626
140,3.1741479
141,3.0394674999999998
142,3.0651286
143,3.0272540999999995
144,3.0545191999999997
145,3.0417534
146,2.9811028999999998
147,3.0496274000000003
148,3.1239768000000003
149,3.0870385000000002
150,3.122796
151,3.0919005
152,3.2031655
153,3.232653
154,3.2557772
155,3.2482416999999995
156,3.272426
157,3.3595410999999995
158,3.4517588
159,3.3775765
160,3.4551125999999996
161,3.3711136
162,3.3498618000000002
163,3.4598303
164,3.4964853
165,3.4154455
166,3.361827
167,3.40006
168,3.489574
169,3.3956228
170,3.4673781
171,3.5030731
172,3.4947448
173,3.459662
174,3.5247323
175,3.4799254
176,3.5721562000000002
177,3.3835273
178,3.2640173
179,3.3183175
180,3.3619114999999997
181,3.30344
182,3.3475366
183,3.4195533
184,3.2682527
185,3.3157838
186,3.3485099
187,3.5692376
188,3.4691846
189,3.4179820999999997
190,3.4301119999999994
191,3.3023592
192,3.1826727
193,3.3508892
194,3.2912623
195,3.2948677999999996
196,3.401185
197,3.3056601
198,3.313373
199,3.2556698
200,3.2349872
201,3.2124394
202,3.183532
203,3.0800164
204,3.1374847
205,3.2385189
206,3.3669368
207,3.3894038
208,3.330064
209,3.3548465
210,3.3306746
211,3.4283443
212,3.4575431
213,3.3315928
214,3.2410072999999997
215,3.2853362
216,3.4364318
217,3.3844702
218,3.3559556
219,3.3566493
220,3.2981309
221,3.364885
222,3.3920623
223,3.3149643
224,3.2948032
225,3.3994446
226,3.2831405999999994
227,3.2967566999999995
228,3.1920968
229,3.085543
230,3.109047
231,3.1818558
232,3.2099109000000006
233,2.9637451000000006
234,2.8176902
235,2.9631642000000005
236,2.9300588
237,3.1239136
238,3.1029137
239,2.9185527
240,2.9606405000000002
241,2.9007712999999997
242,3.031764
243,3.0631939
244,2.9560459
245,3.0778645
246,3.1660167
247,3.0760689
248,3.3522168
249,3.449713
250,3.4107162000000004
251,3.3958250000000003
252,3.3393746
253,3.4017993000000004
254,3.3711878
255,3.4329902
256,3.3920854
257,3.4107876
258,3.3947886
259,3.4414442000000003
260,3.4279912
261,3.4833882999999997
262,3.3388875000000002
263,3.4348008
264,3.4038245
265,3.4555878
266,3.4107644000000006
267,3.4093192
268,3.5012449
269,3.4664607
270,3.5669911
271,3.572016
272,3.647899
273,3.7264889
274,3.7123215
275,3.7165851
276,3.7293834000000006
277,3.715064
278,3.7820448
279,3.6024506
280,3.6972297999999997
281,3.7014518
282,3.6204905
283,3.5535469
284,3.5048237
285,3.5524559
286,3.4598271
287,3.5425784
288,3.4515074
289,3.4892102000000005
290,3.5354547
291,3.5063628
292,3.5303452
293,3.6724192
294,3.7064169
295,3.5687963
296,3.571283
297,3.6729465
298,3.6202714
299,3.5586057999999996
300,3.5221833999999994
301,3.4739485000000005
302,3.3807038
303,3.4696192
304,3.4564073
305,3.5310434
306,3.5844474
307,3.4590613
308,3.5778964
309,3.5275808
310,3.5796951
311,3.5555262
312,3.5654901
313,3.5639724
314,3.4883726999999998
315,3.6165161
316,3.6391727
317,3.6762717
318,3.6390138
319,3.6206756
320,3.6188631
321,3.5388422999999998
322,3.592683
323,3.5867502
324,3.5954858
325,3.5753242
326,3.5492875
327,3.4767968
328,3.5237276
329,3.6253215
330,3.5955314
331,3.6492391999999994
332,3.6745442
333,3.5621896
334,3.5387868
335,3.5441546
336,3.5822613
337,3.6131243999999993
338,3.5522878
339,3.4855886
340,3.6067822
341,3.5729591000000003
342,3.5805856
343,3.6227507
344,3.5845401999999997
345,3.6481707
346,3.531988
347,3.580451
348,3.7356835
349,3.7265113999999997
350,3.8070724
351,3.8298167999999997
352,3.7555411
353,3.7416115999999997
354,3.6618070000000005
355,3.3807049
356,3.4308394
357,3.3707063999999995
358,3.3714409
359,3.4202081
360,3.4322709
361,3.4561314
362,3.3561772000000003
363,3.3409901
364,3.5099199
365,3.5097798000000004
366,3.6244731999999997
367,3.5174811999999998
368,3.4228965000000002
369,3.8611832
370,4.1776683
371,3.4820319
